STATIONID,STATIONNAME,WALKING_TIME_MAX,WALKING_TIME_MIN,WALKING_TIME_AVER,DIRECTOR_E,TIME_TYPE,DATE_TYPE
150996289,宋家庄,169,55,113,出站,高峰,工作日
150996289,宋家庄,126,70,99,进站,平峰,工作日
150996289,宋家庄,154,69,111,出站,平峰,工作日
150996289,宋家庄,126,70,99,进站,全天,双休日
150996289,宋家庄,154,69,111,出站,全天,双休日
150996997,朱辛庄,90,90,90,进站,高峰,工作日
150996997,朱辛庄,90,90,90,进站,平峰,工作日
150996997,朱辛庄,90,90,90,进站,全天,双休日
150996997,朱辛庄,90,90,90,出站,全天,双休日
150996997,朱辛庄,90,90,90,出站,高峰,工作日
150996997,朱辛庄,90,90,90,出站,平峰,工作日
150996999,育知路,90,90,90,进站,高峰,工作日
150996999,育知路,90,90,90,进站,平峰,工作日
150996999,育知路,90,90,90,进站,全天,双休日
150996999,育知路,90,90,90,出站,全天,双休日
150996999,育知路,90,90,90,出站,高峰,工作日
150996999,育知路,90,90,90,出站,平峰,工作日
150997001,平西府,90,90,90,进站,高峰,工作日
150997001,平西府,90,90,90,进站,平峰,工作日
150997001,平西府,90,90,90,进站,全天,双休日
150997001,平西府,90,90,90,出站,全天,双休日
150997001,平西府,90,90,90,出站,高峰,工作日
150997001,平西府,90,90,90,出站,平峰,工作日
150997003,回龙观东大街,90,90,90,进站,高峰,工作日
150997003,回龙观东大街,90,90,90,进站,平峰,工作日
150997003,回龙观东大街,90,90,90,进站,全天,双休日
150997003,回龙观东大街,90,90,90,出站,全天,双休日
150997003,回龙观东大街,90,90,90,出站,高峰,工作日
150995224,四惠,110,21,60,进站,高峰,工作日
150995224,四惠,148,30,83,出站,高峰,工作日
150995224,四惠,55,30,43,进站,平峰,工作日
150995224,四惠,75,25,51,出站,平峰,工作日
150995224,四惠,55,30,43,进站,全天,双休日
150995224,四惠,75,25,51,出站,全天,双休日
150995225,四惠东,149,45,90,进站,高峰,工作日
150995225,四惠东,109,27,65,出站,高峰,工作日
150995225,四惠东,135,26,74,进站,平峰,工作日
150995225,四惠东,106,31,65,出站,平峰,工作日
150995225,四惠东,135,26,74,进站,全天,双休日
150995225,四惠东,106,31,65,出站,全天,双休日
150995457,西直门,660,194,437,进站,高峰,工作日
150995457,西直门,395,207,295,出站,高峰,工作日
150995457,西直门,437,224,327,进站,平峰,工作日
150995457,西直门,390,250,324,出站,平峰,工作日
150995457,西直门,660,194,437,进站,全天,双休日
150995457,西直门,390,250,324,出站,全天,双休日
150995458,车公庄,46,21,32,进站,高峰,工作日
150995458,车公庄,56,20,39,出站,高峰,工作日
150995458,车公庄,56,20,39,进站,平峰,工作日
150995458,车公庄,72,20,46,出站,平峰,工作日
150995458,车公庄,56,20,39,进站,全天,双休日
150995458,车公庄,72,20,46,出站,全天,双休日
150995459,阜成门,46,21,32,进站,高峰,工作日
150995459,阜成门,56,20,39,出站,高峰,工作日
150995459,阜成门,56,20,39,进站,平峰,工作日
150995459,阜成门,72,20,46,出站,平峰,工作日
150995459,阜成门,56,20,39,进站,全天,双休日
150995459,阜成门,72,20,46,出站,全天,双休日
150995460,复兴门,331,84,198,进站,高峰,工作日
150995460,复兴门,350,145,245,出站,高峰,工作日
150995460,复兴门,345,78,207,进站,平峰,工作日
150995460,复兴门,244,106,174,出站,平峰,工作日
150995460,复兴门,350,145,245,出站,全天,双休日
150995460,复兴门,345,78,207,进站,全天,双休日
150995461,长椿街,46,21,32,进站,高峰,工作日
150995461,长椿街,56,20,39,出站,高峰,工作日
150995461,长椿街,56,20,39,进站,平峰,工作日
150995461,长椿街,72,20,46,出站,平峰,工作日
150995461,长椿街,56,20,39,进站,全天,双休日
150995461,长椿街,72,20,46,出站,全天,双休日
150995462,宣武门,398,170,286,进站,高峰,工作日
150995462,宣武门,107,38,70,出站,高峰,工作日
150995462,宣武门,88,39,63,进站,平峰,工作日
150995462,宣武门,124,35,87,出站,平峰,工作日
150995462,宣武门,398,170,286,进站,全天,双休日
150995462,宣武门,124,35,87,出站,全天,双休日
150995463,和平门,46,21,32,进站,高峰,工作日
150995463,和平门,56,20,39,出站,高峰,工作日
150995463,和平门,56,20,39,进站,平峰,工作日
150995463,和平门,72,20,46,出站,平峰,工作日
150995463,和平门,56,20,39,进站,全天,双休日
150995463,和平门,72,20,46,出站,全天,双休日
150995464,前门,46,21,32,进站,高峰,工作日
150995464,前门,56,20,39,出站,高峰,工作日
150995464,前门,56,20,39,进站,平峰,工作日
150995464,前门,72,20,46,出站,平峰,工作日
150995464,前门,56,20,39,进站,全天,双休日
150995464,前门,72,20,46,出站,全天,双休日
150995465,崇文门,395,132,253,进站,高峰,工作日
150995465,崇文门,218,22,127,出站,高峰,工作日
150995465,崇文门,255,79,165,进站,平峰,工作日
150995465,崇文门,260,65,157,出站,平峰,工作日
150995465,崇文门,395,132,253,进站,全天,双休日
150995465,崇文门,260,65,157,出站,全天,双休日
150995466,北京站,46,21,32,进站,高峰,工作日
150995466,北京站,56,20,39,出站,高峰,工作日
150995466,北京站,56,20,39,进站,平峰,工作日
150995466,北京站,72,20,46,出站,平峰,工作日
150995466,北京站,56,20,39,进站,全天,双休日
150995466,北京站,72,20,46,出站,全天,双休日
150995467,建国门,208,21,103,进站,高峰,工作日
150995467,建国门,189,62,141,出站,高峰,工作日
150995467,建国门,130,31,79,进站,平峰,工作日
150995467,建国门,229,121,177,出站,平峰,工作日
150995467,建国门,208,21,103,进站,全天,双休日
150995467,建国门,229,121,177,出站,全天,双休日
150995468,朝阳门,46,21,32,进站,高峰,工作日
150995468,朝阳门,56,20,39,出站,高峰,工作日
150995468,朝阳门,56,20,39,进站,平峰,工作日
150995468,朝阳门,72,20,46,出站,平峰,工作日
150995468,朝阳门,56,20,39,进站,全天,双休日
150995468,朝阳门,72,20,46,出站,全天,双休日
150995469,东四十条,46,21,32,进站,高峰,工作日
150995469,东四十条,56,20,39,出站,高峰,工作日
150995469,东四十条,56,20,39,进站,平峰,工作日
150995469,东四十条,72,20,46,出站,平峰,工作日
150995469,东四十条,56,20,39,进站,全天,双休日
150995469,东四十条,72,20,46,出站,全天,双休日
150995470,东直门,295,150,222,进站,高峰,工作日
150995470,东直门,377,131,249,出站,高峰,工作日
150995470,东直门,268,123,191,进站,平峰,工作日
150995470,东直门,377,149,260,出站,平峰,工作日
150995470,东直门,295,150,222,进站,全天,双休日
150995470,东直门,377,149,260,出站,全天,双休日
150995471,雍和宫,194,88,143,进站,高峰,工作日
150995471,雍和宫,265,87,167,出站,高峰,工作日
150995471,雍和宫,183,89,132,进站,平峰,工作日
150995471,雍和宫,163,48,110,出站,平峰,工作日
150995471,雍和宫,194,88,143,进站,全天,双休日
150995471,雍和宫,265,87,167,出站,全天,双休日
150995472,安定门,46,21,32,进站,高峰,工作日
150995472,安定门,56,20,39,出站,高峰,工作日
150995472,安定门,56,20,39,进站,平峰,工作日
150995472,安定门,72,20,46,出站,平峰,工作日
150995472,安定门,56,20,39,进站,全天,双休日
150995472,安定门,72,20,46,出站,全天,双休日
150995473,鼓楼大街,46,21,32,进站,高峰,工作日
150995473,鼓楼大街,56,20,39,出站,高峰,工作日
150995473,鼓楼大街,56,20,39,进站,平峰,工作日
150995473,鼓楼大街,72,20,46,出站,平峰,工作日
150995473,鼓楼大街,56,20,39,进站,全天,双休日
150997003,回龙观东大街,90,90,90,出站,平峰,工作日
150997005,霍营,124,100,55,进站,高峰,工作日
150997005,霍营,128,101,50,进站,平峰,工作日
150997005,霍营,157,113,74,进站,全天,双休日
150997005,霍营,156,112,81,出站,全天,双休日
150997005,霍营,149,116,68,出站,高峰,工作日
150997005,霍营,151,129.7,110,出站,平峰,工作日
150997007,育新,90,90,90,进站,高峰,工作日
150997007,育新,90,90,90,进站,平峰,工作日
150997007,育新,90,90,90,进站,全天,双休日
150997007,育新,90,90,90,出站,全天,双休日
150997007,育新,90,90,90,出站,高峰,工作日
150997007,育新,90,90,90,出站,平峰,工作日
150997009,西小口,90,90,90,进站,高峰,工作日
150997009,西小口,90,90,90,进站,平峰,工作日
150997009,西小口,90,90,90,进站,全天,双休日
150997009,西小口,90,90,90,出站,全天,双休日
150997009,西小口,90,90,90,出站,高峰,工作日
150997009,西小口,90,90,90,出站,平峰,工作日
150997011,永泰庄,90,90,90,进站,平峰,工作日
150997011,永泰庄,90,90,90,进站,高峰,工作日
150997011,永泰庄,90,90,90,进站,全天,双休日
150997011,永泰庄,90,90,90,出站,全天,双休日
150997011,永泰庄,90,90,90,出站,高峰,工作日
150997011,永泰庄,90,90,90,出站,平峰,工作日
150997013,林萃桥,90,90,90,进站,平峰,工作日
150997013,林萃桥,90,90,90,进站,高峰,工作日
150997013,林萃桥,90,90,90,进站,全天,双休日
150997013,林萃桥,90,90,90,出站,全天,双休日
150997013,林萃桥,90,90,90,出站,高峰,工作日
150997013,林萃桥,90,90,90,出站,平峰,工作日
150997015,森林公园南门,90,90,90,进站,平峰,工作日
150997015,森林公园南门,90,90,90,进站,高峰,工作日
150997015,森林公园南门,90,90,90,进站,全天,双休日
150997015,森林公园南门,90,90,90,出站,全天,双休日
150997015,森林公园南门,90,90,90,出站,高峰,工作日
150997015,森林公园南门,90,90,90,出站,平峰,工作日
150997017,奥林匹克公园,90,90,90,进站,平峰,工作日
150997017,奥林匹克公园,90,90,90,进站,高峰,工作日
150997017,奥林匹克公园,90,90,90,进站,全天,双休日
150997017,奥林匹克公园,90,90,90,出站,全天,双休日
150997017,奥林匹克公园,90,90,90,出站,高峰,工作日
150997017,奥林匹克公园,90,90,90,出站,平峰,工作日
150997019,奥体中心,90,90,90,进站,平峰,工作日
150997019,奥体中心,90,90,90,进站,高峰,工作日
150997019,奥体中心,90,90,90,进站,全天,双休日
150997019,奥体中心,90,90,90,出站,全天,双休日
150997019,奥体中心,90,90,90,出站,高峰,工作日
150997019,奥体中心,90,90,90,出站,平峰,工作日
150997021,北土城,68,55,59,进站,平峰,工作日
150997021,北土城,73,44,61,进站,高峰,工作日
150997021,北土城,73,41,58,进站,全天,双休日
150997021,北土城,84,42,69,出站,全天,双休日
150997021,北土城,93,60,76,出站,高峰,工作日
150997021,北土城,87,43,70,出站,平峰,工作日
150997023,安华桥,90,90,90,进站,平峰,工作日
150997023,安华桥,90,90,90,进站,高峰,工作日
150997023,安华桥,90,90,90,进站,全天,双休日
150997023,安华桥,90,90,90,出站,全天,双休日
150997023,安华桥,90,90,90,出站,高峰,工作日
150997023,安华桥,90,90,90,出站,平峰,工作日
150997025,安德里北街,90,90,90,进站,平峰,工作日
150997025,安德里北街,90,90,90,进站,高峰,工作日
150997025,安德里北街,90,90,90,进站,全天,双休日
150997025,安德里北街,90,90,90,出站,全天,双休日
150997025,安德里北街,90,90,90,出站,高峰,工作日
150997025,安德里北街,90,90,90,出站,平峰,工作日
150997027,鼓楼大街,90,90,90,进站,平峰,工作日
150997027,鼓楼大街,90,90,90,进站,高峰,工作日
150997027,鼓楼大街,90,90,90,进站,全天,双休日
150997027,鼓楼大街,90,90,90,出站,全天,双休日
150997027,鼓楼大街,90,90,90,出站,高峰,工作日
150997027,鼓楼大街,90,90,90,出站,平峰,工作日
150997029,什刹海,90,90,90,进站,平峰,工作日
150997029,什刹海,90,90,90,进站,高峰,工作日
150997029,什刹海,90,90,90,进站,全天,双休日
150997029,什刹海,90,90,90,出站,全天,双休日
150997029,什刹海,90,90,90,出站,高峰,工作日
150997029,什刹海,90,90,90,出站,平峰,工作日
150997031,南锣鼓巷,90,90,90,进站,平峰,工作日
150997031,南锣鼓巷,90,90,90,进站,高峰,工作日
150997031,南锣鼓巷,90,90,90,进站,全天,双休日
150997031,南锣鼓巷,90,90,90,出站,全天,双休日
150997031,南锣鼓巷,90,90,90,出站,高峰,工作日
150997031,南锣鼓巷,90,90,90,出站,平峰,工作日
150997269,国家图书馆,44,42.66666667,42,进站,高峰,工作日
150997269,国家图书馆,45,39.33333333,36,进站,平峰,工作日
150997269,国家图书馆,50,47,42,进站,全天,双休日
150997269,国家图书馆,62,56,46,出站,全天,双休日
150997269,国家图书馆,58,52.66666667,43,出站,高峰,工作日
150997269,国家图书馆,63,59,56,出站,平峰,工作日
150997271,白石桥南,90,90,90,进站,高峰,工作日
150997271,白石桥南,90,90,90,进站,平峰,工作日
150997271,白石桥南,90,90,90,进站,全天,双休日
150997271,白石桥南,90,90,90,出站,全天,双休日
150997271,白石桥南,90,90,90,出站,高峰,工作日
150997271,白石桥南,90,90,90,出站,平峰,工作日
150997273,白堆子,90,90,90,进站,高峰,工作日
150997273,白堆子,90,90,90,进站,平峰,工作日
150997273,白堆子,90,90,90,进站,全天,双休日
150997273,白堆子,90,90,90,出站,全天,双休日
150997273,白堆子,90,90,90,出站,高峰,工作日
150997273,白堆子,90,90,90,出站,平峰,工作日
150997275,军事博物馆,90,90,90,进站,高峰,工作日
150997275,军事博物馆,90,90,90,进站,平峰,工作日
150997275,军事博物馆,90,90,90,进站,全天,双休日
150997275,军事博物馆,90,90,90,出站,全天,双休日
150997275,军事博物馆,90,90,90,出站,高峰,工作日
150997275,军事博物馆,90,90,90,出站,平峰,工作日
150997277,北京西站,90,90,90,进站,高峰,工作日
150997277,北京西站,90,90,90,进站,平峰,工作日
150997277,北京西站,90,90,90,进站,全天,双休日
150997277,北京西站,90,90,90,出站,全天,双休日
150997277,北京西站,90,90,90,出站,高峰,工作日
150997277,北京西站,90,90,90,出站,平峰,工作日
150997279,六里桥东,90,90,90,进站,高峰,工作日
150997279,六里桥东,90,90,90,进站,平峰,工作日
150997279,六里桥东,90,90,90,进站,全天,双休日
150997279,六里桥东,90,90,90,出站,全天,双休日
150997279,六里桥东,90,90,90,出站,高峰,工作日
150997279,六里桥东,90,90,90,出站,平峰,工作日
150997281,六里桥,90,90,90,进站,高峰,工作日
150997281,六里桥,90,90,90,进站,平峰,工作日
150997281,六里桥,90,90,90,进站,全天,双休日
150997281,六里桥,90,90,90,出站,全天,双休日
150997281,六里桥,90,90,90,出站,高峰,工作日
150997281,六里桥,90,90,90,出站,平峰,工作日
150997283,七里庄,90,90,90,进站,高峰,工作日
150997283,七里庄,90,90,90,进站,平峰,工作日
150997283,七里庄,90,90,90,进站,全天,双休日
150997283,七里庄,90,90,90,出站,全天,双休日
