BlockSectionID,BSLength
S06025-S06028,1468
S06027-S06025,1543
S06027-S06029,1599
S06028-S06024,929
S06028-S06025,1346
S06029-S06027,1194
S07001-S07002,935
S07002-S07001,734
S07002-S07003,1874
S07003-S07002,1374
S07003-S07004,885
S07004-S07003,1205
S07004-S07005,869
S07005-S07004,1016
S07005-S07006,1138
S07006-S07005,1332
S07006-S07007,1241
S07007-S07006,1311
S07007-S07008,781
S07008-S07007,865
S07008-S07009,903
S07009-S07008,1464
S07009-S07010,906
S07010-S07009,1679
S07010-S07011,1304
S07011-S07010,1021
S07011-S07012,935
S07012-S07011,734
S07012-S07013,1874
S07013-S07012,1374
S07013-S07014,885
S07014-S07013,1205
S07014-S07015,869
S07015-S07014,1016
S07015-S07016,1138
S07016-S07015,1332
S07016-S07017,1241
S07017-S07016,1311
S07017-S07018,781
S07018-S07017,865
S07018-S07019,903
S07019-S07018,1464
S07019-S07020,906
S07020-S07019,1679
S07020-S07021,1304
S07021-S07020,1021
S08001-S08002,1000
S08002-S08001,1000
S08002-S08003,1100
S08003-S08002,1100
S08003-S08004,3350
S08004-S08003,3350
S08004-S08005,1876
S08005-S08004,1876
S08005-S08006,1340
S08006-S08005,1340
S08006-S08007,1000
S08007-S08006,1000
S08007-S08008,1668
S08008-S08007,1668
S08008-S08009,1016
S08009-S08008,1016
S08009-S08010,2559
S08010-S08009,2559
S08010-S08011,2554
S08011-S08010,2554
S08011-S08012,1041
S08012-S08011,1041
S08012-S08013,1544
S08013-S08012,1544
S08013-S08014,1894
S08014-S08013,1894
S08014-S08015,1115
S08015-S08014,1115
S08015-S08016,2000
S08016-S08015,2000
S08016-S08017,2000
S08017-S08016,2000
S08017-S08018,2400
S08018-S08017,2400
S09001-S09002,1742
S09002-S09001,1742
S09002-S09003,1340
S09003-S09002,1340
S09003-S09004,3618
S09004-S09003,3618
S09004-S09005,2010
S09005-S09004,1572
S09005-S09006,1171
S09006-S09005,1171
S09006-S09007,1309
S09007-S09006,1309
S09007-S09008,1779
S09008-S09007,1779
S09008-S09009,1326
S09009-S09008,1326
S09009-S09010,1585
S09010-S09009,1585
S09010-S09011,980
S09011-S09010,980
S09011-S09012,788
S09012-S09011,788
S09012-S09013,1348
S09013-S09012,1348
S09101-S09102,1438
S09102-S09101,1438
S09102-S09103,6466
S09103-S09102,6466
S09103-S09104,4042
S09104-S09103,4042
S09104-S09105,2150
S09105-S09104,2150
S09105-S09106,1474
S09106-S09105,1474
S09106-S09107,2003
S09107-S09106,2003
S09107-S09108,1188
S09108-S09107,1188
S09108-S09109,1739
S09109-S09108,1739
S09109-S09110,1333
S09110-S09109,1333
S09110-S09111,1331
S09111-S09110,1331
S09111-S09112,2305
S09112-S09111,2305
S09201-S09202,1541
S09202-S09201,1541
S09202-S09203,1210
S09203-S09202,1210
S09203-S09204,1649
S09204-S09203,1649
S09204-S09205,1929
S09205-S09204,1929
S09205-S09206,2087
S09206-S09205,2087
S09206-S09207,984
S09207-S09206,984
S09207-S09208,1777
S09208-S09207,1777
S09208-S09209,2076
S09209-S09208,2076
S10001-S10002,1179
S10001-S10045,1206
S10002-S10001,1006
S10002-S10003,1006
S10003-S10002,1006
S10003-S10004,1760
S10004-S10003,1760
S10004-S10005,835
S10005-S10004,835
S10005-S10006,734
S10006-S10005,734
S10006-S10007,1150
S10007-S10006,1150
S10007-S10008,853
S10008-S10007,853
S10008-S10009,914
S10009-S10008,914
S10009-S10010,1507
S10010-S10009,1507
S10010-S10011,1759
S10011-S10010,1759
S10011-S10012,1003
S10012-S10011,1003
S10012-S10013,1713
S10013-S10012,1713
S10013-S10014,982
S10014-S10013,982
S10014-S10015,1020
S10015-S10014,1020
S10015-S10016,1100
S10016-S10015,1100
S10016-S10017,967
S10017-S10016,967
S10017-S10018,1336
S10018-S10017,1336
S10018-S10019,1102
S10019-S10018,1102
S10019-S10020,1058
S10020-S10019,1058
S10020-S10021,976
S10021-S10020,976
S10021-S10022,950
S10022-S10021,950
S10022-S10023,1110
S10023-S10022,1110
S10023-S10024,1608
S10024-S10023,1608
S10024-S10025,1206
S10025-S10024,1206
S10025-S10026,1340
S10026-S10025,1340
S10026-S10027,1608
S10027-S10026,1608
S10027-S10028,1340
S10028-S10027,1340
S10028-S10029,2144
S10029-S10028,2144
S10029-S10030,1206
S10030-S10029,1206
S10030-S10031,2144
S10031-S10030,2144
S10031-S10032,1474
S10032-S10031,1474
S10032-S10033,921
S10033-S10032,921
S10033-S10034,1200
S10034-S10033,1200
S10034-S10035,1300
S10035-S10034,1300
S10035-S10036,1206
S10036-S10035,1206
S10036-S10037,1608
S10037-S10036,1474
S10037-S10038,1340
S10038-S10037,1608
S10038-S10039,1608
S10039-S10038,1340
S10039-S10040,1206
S10040-S10039,1206
S10040-S10041,1206
S10041-S10040,1206
S10041-S10042,1206
S10042-S10041,1206
S10042-S10043,1340
S10043-S10042,1608
S10043-S10044,1608
S10044-S10043,1340
S10044-S10045,1474
S10045-S10001,1206
S10045-S10044,1608
S10101-S10102,2900
S10102-S10101,2900
S10102-S10103,1500
S10103-S10102,1500
S10103-S10104,1500
S10104-S10103,1500
S10104-S10105,1800
S10105-S10104,1800
S10105-S10106,1000
S10106-S10105,1000
S13001-S13002,2839
S13002-S13001,2839
S13002-S13003,1206
S13003-S13002,1206
S13003-S13004,1829
S13004-S13003,1829
S13004-S13005,4966
S13005-S13004,4966
S13005-S13006,2364
S13006-S13005,2364
S13006-S13007,3797
S13007-S13006,3797
S13007-S13008,1423
S13008-S13007,1423
S13008-S13009,2110
S13009-S13008,2110
S13009-S13010,4786
S13010-S13009,4786
S13010-S13011,2272
S13011-S13010,2272
S13011-S13012,6720
S13012-S13011,6720
S13012-S13013,2152
S13013-S13012,2152
S13013-S13014,1110
S13014-S13013,1110
S13014-S13015,1135
S13015-S13014,1135
S13015-S13016,1769
S13016-S13015,1769
S13101-S13102,5441
S13102-S13101,5441
S13102-S13103,2368
S13103-S13102,2368
S13103-S13104,3798
S13104-S13103,3799
S13104-S13105,2027
S13105-S13104,2026
S13105-S13106,1965
S13106-S13105,1965
S13106-S13107,5357
S13107-S13106,5357
S13107-S13108,1959
S13108-S13107,1959
S13108-S13109,1683
S13109-S13108,1683
S13109-S13110,2433
S13110-S13109,2433
S13110-S13111,3527
S13111-S13110,3527
S13111-S13112,1213
S13112-S13111,1213
S14001-S14002,993
S14002-S14001,993
S14002-S14003,993
S14003-S14002,933
S14003-S14004,1986
S14004-S14003,1986
S14004-S14005,1986
S14005-S14004,1986
S14005-S14006,3310
S14006-S14005,3310
S14006-S14007,662
S14007-S14006,662
S14101-S14102,1364
S14102-S14101,1100
S14102-S14103,1283
S14103-S14102,903
S14103-S14104,1168
S14104-S14103,676
S14104-S14105,1171
S14105-S14104,1600
S14105-S14106,2173
S14106-S14105,1221
S14106-S14107,1085
S14107-S14106,1364
S14107-S14108,1100
S14108-S14107,1283
S14108-S14109,903
S14109-S14108,1168
S14109-S14110,676
S14110-S14109,1171
S14110-S14111,1600
S14111-S14110,2173
S14111-S14112,1221
S14112-S14111,1085
S14112-S14113,1602
