S07006,虎坊桥,150996767,116.384596,39.889486
S07007,珠市口,150996769,116.398104,39.891267
S07008,桥湾,150996771,116.408464,39.892725
S07009,磁器口,150996773,116.41994,39.893172
S07010,广渠门内,150996775,116.433877,39.893673
S07011,广渠门外,150996777,116.448998,39.893648
S07012,双井,150996779,116.460627,39.893479
S07013,九龙山,150996781,116.478695,39.893222
S07014,大郊亭,150996783,116.487935,39.893183
S07015,百子湾,150996785,116.497768,39.89253
S07016,化工,150996787,116.503439,39.887369
S07017,南楼梓庄,150996789,116.501084,39.874578
S07018,欢乐谷景区,150996791,116.500067,39.866505
S07019,垈头,150996793,116.511829,39.860864
S07020,双合,150996795,116.526836,39.859691
S07021,焦化厂,150996797,116.537247,39.855488
S08018,朱辛庄,150996997,116.313698,40.104297
S08017,育知路,150996999,116.326992,40.087863
S08016,平西府,150997001,116.350425,40.090607
S08015,回龙观东大街,150997003,116.363025,40.081175
S08014,霍营,150997005,116.361648,40.069655
S08013,育新,150997007,116.347328,40.060039
S08012,西小口,150997009,116.351609,40.046952
S08011,永泰庄,150997011,116.35458,40.037728
S08010,林萃桥,150997013,116.372998,40.021906
S08009,森林公园南门,150997015,116.3926,40.010122
S08008,奥林匹克公园,150997017,116.391758,40.002207
S08007,奥体中心,150997019,116.393759,39.985837
S08006,北土城,150997021,116.394193,39.976953
S08005,安华桥,150997023,116.394655,39.968507
S08004,安德里北街,150997025,116.395145,39.957227
S08003,鼓楼大街,150997027,116.393776,39.948972
S08002,什刹海,150997029,116.396219,39.937583
S08001,南锣鼓巷,150997031,116.404192,39.933848
S09001,国家图书馆,150997269,116.32519,39.943114
S09002,白石桥南,150997271,116.32568,39.933022
S09003,白堆子,150997273,116.325767,39.923924
S09004,军事博物馆,150997275,116.321459,39.907422
S09005,北京西站,150997277,116.321329,39.894726
S09006,六里桥东,150997279,116.315142,39.886886
S09007,六里桥,150997281,116.302808,39.880239
S09008,七里庄,150997283,116.294292,39.866773
S09009,丰台东大街,150997285,116.293857,39.855111
S09010,丰台南路,150997287,116.296748,39.840444
S09011,科怡路,150997289,116.297432,39.83248
S09012,丰台科技园,150997291,116.297176,39.825233
S09013,郭公庄,150997293,116.301889,39.814322
S10023,巴沟,150997505,116.293727,39.974179
S10022,苏州街,150997507,116.306332,39.975642
S10021,海淀黄庄,150997509,116.317564,39.975996
S10020,知春里,150997511,116.328709,39.976334
S10019,知春路,150997513,116.33996,39.976476
S10018,西土城,150997515,116.354098,39.976549
S10017,牡丹园,150997517,116.369844,39.976603
S10016,健德门,150997519,116.381353,39.976723
S10015,北土城,150997521,116.394193,39.976953
S10014,安贞门,150997523,116.405954,39.977005
S10013,惠新西街南口,150997525,116.417537,39.977121
S10012,芍药居,150997527,116.435914,39.977636
S10011,太阳宫,150997529,116.447469,39.972678
S10010,三元桥,150997531,116.456997,39.961508
S10009,亮马桥,150997533,116.461794,39.949415
S10008,农业展览馆,150997535,116.461724,39.941344
S10007,团结湖,150997537,116.461806,39.933747
S10006,呼家楼,150997539,116.461098,39.923339
S10005,金台夕照,150997541,116.461743,39.916838
S10004,国贸,150997543,114.118909,22.53968
S10003,双井,150997545,116.460627,39.893479
S10002,劲松,150997547,116.461325,39.884387
S13001,西直门,150998293,116.355426,39.940474
S13002,大钟寺,150998295,116.345139,39.966612
S13003,知春路,150998297,116.33996,39.976476
S13004,五道口,150998299,116.337742,39.992894
S13005,上地,150998301,116.320193,40.033007
S13006,西二旗,150998303,116.306295,40.053034
S13007,龙泽,150998305,116.319429,40.070882
S13008,回龙观,150998307,116.336116,40.0708
S13009,霍营,150998309,116.360286,40.071857
S13010,立水桥,150998311,116.412244,40.052883
S13011,北苑,150998313,116.434518,40.042997
S13012,望京西,150998315,116.449884,39.995724
S13013,芍药居,150998317,116.435914,39.977636
S13014,光熙门,150998319,116.431761,39.968337
S13015,柳芳,150998321,116.432728,39.958157
S13016,东直门,150998323,116.435842,39.941626
S14007,张郭庄,150998549,116.187193,39.8581
S14006,园博园,150998551,116.201643,39.861328
S14005,大瓦窑,150998553,116.24048,39.85947
S14004,郭庄子,150998555,116.253068,39.864841
S14003,大井,150998557,116.276061,39.865226
S14002,七里庄,150998559,116.294292,39.866773
S14001,西局,150998561,116.303819,39.86677
S14123,北京南站,150998573,116.37897,39.864978
S14122,陶然桥,150998575,116.387167,39.868791
S14121,永定门外,150998577,116.399369,39.867435
S14120,景泰,150998579,116.411027,39.865255
S14119,蒲黄榆,150998581,116.42372,39.865621
S14118,方庄,150998583,116.440244,39.865868
S14117,十里河,150998585,116.457983,39.866417
S14116,北工大西门,150998589,116.477319,39.875445
S14115,平乐园,150998591,116.47728,39.884853
S14114,九龙山,150998593,116.478695,39.893222
S14113,大望路,150998595,116.475783,39.908287
S14112,金台路,150998599,116.478115,39.923556
S14111,朝阳公园,150998601,116.478283,39.933711
S14110,枣营,150998603,116.474947,39.944132
S14109,东风北桥,150998605,116.485919,39.958375
S14108,将台,150998607,116.489496,39.971109
S14107,高家园,150998609,116.488543,39.980572
S14106,望京南,150998611,116.481634,39.984634
S14105,阜通,150998613,116.47174,39.991699
S14104,望京,150998615,116.469409,39.998521
S14103,东湖渠,150998617,116.467412,40.01067
S14102,来广营,150998619,116.466994,40.020588
S14101,善各庄,150998621,116.478195,40.02716
S15021,清华东路西口,150998809,116.33953,40.000673
S15020,六道口,150998811,116.35267,40.000958
S15018,北沙滩,150998813,116.368143,40.001492
S15017,奥林匹克公园,150998815,116.391758,40.002207
S15016,安立路,150998817,116.407845,40.002619
S15015,大屯路东,150998819,116.417377,40.003841
S15014,关庄,150998821,116.430947,40.001134
S15001,望京西,150998823,116.449884,39.995724
S15002,望京,150998825,116.469409,39.998521
S15003,望京东,150998827,116.4859,40.003499
S15004,崔各庄,150998829,116.492968,40.022201
S15005,马泉营,150998831,116.50348,40.033721
S15006,孙河,150998833,116.5347,40.045113
S15007,国展,150998835,116.555127,40.07003
S15008,花梨坎,150998837,116.557593,40.084436
S15009,后沙峪,150998839,116.564211,40.114127
S15010,南法信,150998841,116.609535,40.128478
S15011,石门,150998843,116.641117,40.129802
S15012,顺义,150998845,116.657023,40.129994
S15013,俸伯,150998847,116.684732,40.132573
S16001,北安河,150999061,116.130428,40.068128
S16002,温阳路,150999063,116.161361,40.068516
S16003,稻香湖路,150999065,116.188145,40.068936
S16004,屯佃,150999067,116.21585,40.068454
S16005,永丰,150999069,116.238481,40.071868
S16006,永丰南,150999071,116.248154,40.065575
S16007,西北旺,150999073,116.257923,40.048703
S16008,马连洼,150999075,116.27252,40.032637
S16009,农大南路,150999077,116.282012,40.021681
S16010,西苑,150999079,116.290908,39.998258
S10106,香山,151017749,116.204491,39.994056
S10105,植物园,151017751,113.364336,23.188203
S10104,万安,151017753,116.231956,39.983991
S10103,茶棚,151017755,116.248009,39.982127
S10102,颐和园西门,151017757,116.263195,39.985699
S10101,巴沟,151017759,116.293727,39.974179
S10001,潘家园,151018007,116.460926,39.875387
S10045,十里河,151018009,116.457983,39.866417
S10044,分钟寺,151018011,116.453976,39.852227
S10043,成寿寺,151018013,116.447531,39.845874
S10042,宋家庄,151018015,116.428368,39.845849
S10041,石榴庄,151018017,116.414103,39.845905
S10040,大红门,151018019,116.399154,39.845383
S10039,角门东,151018021,116.385649,39.845135
S10038,角门西,151018023,116.371154,39.84585
S10037,草桥,151018025,116.351387,39.845869
S10036,纪家庙,151018027,116.333381,39.844433
S10035,首经贸,151018029,116.320202,39.844463
S10034,丰台站,151018031,116.30454,39.849639
S10033,泥洼,151018033,116.304173,39.858609
S10032,西局,151018035,116.303819,39.86677
S10031,六里桥,151018037,116.302795,39.880339
S10030,莲花桥,151018039,116.310347,39.897867
S10029,公主坟,151018041,116.30992,39.907722
S10028,西钓鱼台,151018043,116.298064,39.923481
S10027,慈寿寺,151018045,116.295467,39.933268
S10026,车道沟,151018047,116.293818,39.947923
S10025,长春桥,151018049,116.294255,39.958527
S10024,火器营,151018051,116.289058,39.965938
S16108,石厂,151018261,116.100334,39.889378
S16107,小园,151018263,116.114443,39.890465
S16106,栗园庄,151018265,116.123254,39.89578
S16105,上岸,151018267,116.122225,39.905138
S16104,桥户营,151018269,116.125809,39.912383
S16103,四道桥,151018271,116.13401,39.91603
S16102,金安桥,151018273,116.163167,39.92362
S09209,燕山,151018517,115.973395,39.719615
S09208,房山城关,151018519,115.989599,39.706061
S09207,饶乐府,151018521,116.006103,39.701471
S09206,马各庄,151018523,116.016606,39.705103
S09205,大石河东,151018525,116.039906,39.709893
S09204,星城,151018527,116.06137,39.713681
S09203,阎村,151018529,116.080165,39.716731
S09202,紫草坞,151018531,116.08672,39.724606
S09201,阎村东,151018533,116.100817,39.729028
S04102,新宫,151018773,116.365609,39.812239
S04103,西红门,151018775,116.328689,39.7898
S04104,高米店北,151018777,116.330787,39.773547
S04105,高米店南,151018779,116.331605,39.763489
S04106,枣园,151018781,116.332204,39.753458
S04107,清源路,151018783,116.332513,39.742724
S04108,黄村西大街,151018785,116.332631,39.731769
S04109,黄村火车站,151018787,116.332611,39.722966
S04110,义和庄,151018789,116.319079,39.712387
S04111,生物医药基地,151018791,116.321662,39.68651
S04112,天宫院,151018793,116.319932,39.670342
S13112,昌平西山口,151019027,116.195371,40.244624
S13111,十三陵景区,151019029,116.207729,40.240255
S13110,昌平,151019031,116.23359,40.22055
S13109,昌平东关,151019033,116.262059,40.221726
S13108,北邵洼,151019035,116.281949,40.222001
S13107,南邵,151019037,116.287534,40.207492
S13106,沙河高教园,151019039,116.280465,40.164666
S13105,沙河,151019041,113.313064,23.151916
S13104,巩华城,151019043,116.293979,40.1309
S13103,朱辛庄,151019045,116.313698,40.104297
S13102,生命科学园,151019047,116.29423,40.09479
S13101,西二旗,151019049,116.306295,40.053034
S09101,郭公庄,151019285,116.301889,39.814322
S09102,大葆台,151019287,116.291681,39.80781
S09103,稻田,151019289,116.21884,39.794885
S09104,长阳,151019291,116.212692,39.763871
S09105,篱笆房,151019293,116.189486,39.760636
S09106,广阳城,151019295,116.184985,39.74793
S09107,良乡大学城北,151019297,116.18348,39.729906
S09108,良乡大学城,151019299,116.176541,39.723159
